,,date,real,predict,real,predict,real,predict
16.23627,,,,,,,,
15.955561,,,,,,,,
15.909541,,,,,,,,
16.26788,,,,,,,,
16.633099,,,,,,,,
16.94983,,,,,,,,
17.063778,,,,,,,,
17.16633,,,,,,,,
17.1387,,,,,,,,
17.216251,,,,,,,,
17.412334,,,,,,,,
17.239243,,,,,,,,
17.415161,,,,,,,,
17.66267,,,,,,,,
17.225727,,,,,,,,
17.251387,,,,,,,,
17.137316,,,,,,,,
17.183002,,,,,,,,
16.556156,,,,,,,,
16.34962,,,,,,,,
16.530018,,,,,,,,
16.56522,,,,,,,,
16.527151,,,,,,,,
16.647396,,,,,,,,
16.583921,,,,,,,,
16.452414,,,,,,,,
16.759098,,,,,,,,
16.779371,,,,,,,,
16.457853,,,,,,,,
16.372404,,,,,,,,
16.63222,,,,,,,,
16.334282,,,,,,,,
15.9689455,,,,,,,,
16.026546,,,,,,,,
16.017746,,,,,,,,
16.020176,,,,,,,,
15.936435,,,,,,,,
15.861563,,,,,,,,
16.055138,,,,,,,,
16.079079,,,,,,,,
16.139086,,,,,,,,
16.158514,,,,,,,,
16.212715,,,,,,,,
16.191175,,,,,,,,
16.105711,,,,,,,,
15.966916,,,,,,,,
15.962284,,,,,,,,
16.39732,,,,,,,,
16.485964,,,,,,,,
16.502573,,,,,,,,
16.558685,,,,,,,,
16.401901,,,,,,,,
16.874016,,,,,,,,
16.773258,,,,,,,,
16.711922,,,,,,,,
16.686747,,,,,,,,
16.781004,,,,,,,,
16.8305,,,,,,,,
17.268251,,,,,,,,
17.16622,,,,,,,,
17.084938,,,,,,,,
17.096443,,,,,,,,
16.919418,,,,,,,,
17.184385,,,,,,,,
16.866947,,,,,,,,
16.808407,,,,,,,,
16.741163,,,,,,,,
16.67224,,,,,,,,
16.03691,,,,,,,,
16.03703,,,,,,,,
16.054829,,,,,,,,
15.872607,,,,,,,,
15.9266815,,,,,,,,
16.078562,,,,,,,,
16.12464,,,,,,,,
16.022194,,,,,,,,
15.996007,,,,,,,,
16.08172,,,,,,,,
15.884704,,,,,,,,
15.794378,,,,,,,,
15.709704,,,,,,,,
15.488417,,,,,,,,
15.549478,,,,,,,,
15.562547,,,,,,,,
15.632839,,,,,,,,
15.600738,,,,,,,,
15.526039,,,,,,,,
15.422456,,,,,,,,
15.074275,,,,,,,,
14.863231,,,,,,,,
14.810199,,,,,,,,
14.596034,,,,,,,,
14.453389,,,,,,,,
14.486185,,,,,,,,
14.543215,,,,,,,,
14.601645,,,,,,,,
14.639397,,,,,,,,
15.039851,,,,,,,,
15.148037,,,,,,,,
14.886592,,,,,,,,
14.836351,,,,,,,,
14.836358,,,,,,,,
14.552162,,,,,,,,
14.526361,,,,,,,,
14.608673,,,,,,,,
14.615703,,,,,,,,
14.478937,,,,,,,,
14.347721,,,,,,,,
14.135355,,,,,,,,
14.111765,,,,,,,,
14.027788,,,,,,,,
13.943916,,,,,,,,
13.977302,,,,,,,,
13.956556,,,,,,,,
13.702219,,,,,,,,
13.524731,,,,,,,,
13.451673,,,,,,,,
13.484661,,,,,,,,
13.614099,,,,,,,,
13.511846,,,,,,,,
13.507732,,,,,,,,
13.5149145,,,,,,,,
13.44213,,,,,,,,
13.183449,,,,,,,,
13.091981,,,,,,,,
12.974733,,,,,,,,
12.965024,,,,,,,,
12.891163,,,,,,,,
12.76232,,,,,,,,
12.724782,,,,,,,,
12.798068,,,,,,,,
12.958545,,,,,,,,
12.988654,,,,,,,,
13.000013,,,,,,,,
13.140866,,,,,,,,
13.154511,,,,,,,,
13.150516,,,,,,,,
13.154828,,,,,,,,
13.095785,,,,,,,,
12.868672,,,,,,,,
12.820353,,,,,,,,
12.765654,,,,,,,,
12.535392,,,,,,,,
12.268041,,,,,,,,
12.054013,,,,,,,,
12.06024,,,,,,,,
12.116622,,,,,,,,
12.239056,,,,,,,,
12.267491,,,,,,,,
12.321691,,,,,,,,
12.363934,,,,,,,,
12.3036785,,,,,,,,
12.1627865,,,,,,,,
12.107047,,,,,,,,
11.86998,,,,,,,,
11.4527445,,,,,,,,
11.2212,,,,,,,,
11.086428,,,,,,,,
10.888567,,,,,,,,
10.674613,,,,,,,,
10.574261,,,,,,,,
10.644574,,,,,,,,
10.799234,,,,,,,,
10.873552,,,,,,,,
10.921183,,,,,,,,
10.960864,,,,,,,,
10.993949,,,,,,,,
11.103052,,,,,,,,
11.178293,,,,,,,,
11.181693,,,,,,,,
11.300233,,,,,,,,
11.38512,,,,,,,,
11.41291,,,,,,,,
11.463806,,,,,,,,
11.421967,,,,,,,,
11.430126,,,,,,,,
11.647565,,,,,,,,
11.860058,,,,,,,,
11.873642,,,,,,,,
11.834795,,,,,,,,
11.7212105,,,,,,,,
11.631376,,,,,,,,
11.561129,,,,,,,,
11.731375,,,,,,,,
11.935831,,,,,,,,
12.100588,,,,,,,,
11.703228,,,,,,,,
11.449259,,,,,,,,
11.334118,,,,,,,,
11.208368,,,,,,,,
11.154035,,,,,,,,
11.140738,,,,,,,,
11.015511,,,,,,,,
10.929246,,,,,,,,
10.82363,,,,,,,,
10.857237,,,,,,,,
10.973838,,,,,,,,
11.002524,,,,,,,,
10.973161,,,,,,,,
10.912522,,,,,,,,
10.8560295,,,,,,,,
10.75647,,,,,,,,
10.674872,,,,,,,,
10.676869,,,,,,,,
10.601606,,,,,,,,
10.475877,,,,,,,,
10.455194,,,,,,,,
10.397466,,,,,,,,
10.118874,,,,,,,,
9.863684,,,,,,,,
9.712028,,,,,,,,
9.710783,,,,,,,,
9.737565,,,,,,,,
9.784148,,,,,,,,
9.817771,,,,,,,,
9.827768,,,,,,,,
9.84292,,,,,,,,
9.819786,,,,,,,,
9.725171,,,,,,,,
9.676117,,,,,,,,
9.653898,,,,,,,,
9.641552,,,,,,,,
9.653104,,,,,,,,
9.731141,,,,,,,,
9.771052,,,,,,,,
9.723789,,,,,,,,
9.685539,,,,,,,,
9.616335,,,,,,,,
9.465206,,,,,,,,
9.239851,,,,,,,,
8.966816,,,,,,,,
8.776011,,,,,,,,
8.725576,,,,,,,,
8.716229,,,,,,,,
8.782609,,,,,,,,
8.863406,,,,,,,,
8.84792,,,,,,,,
8.665787,,,,,,,,
8.52362,,,,,,,,
8.503012,,,,,,,,
8.518793,,,,,,,,
8.49612,,,,,,,,
8.316683,,,,,,,,
7.9959803,,,,,,,,
7.7252026,,,,,,,,
7.526404,,,,,,,,
7.501266,,,,,,,,
7.539548,,,,,,,,
7.6175785,,,,,,,,
7.6747937,,,,,,,,
7.6826773,,,,,,,,
7.739126,,,,,,,,
7.7804575,,,,,,,,
7.8279977,,,,,,,,
7.847643,,,,,,,,
7.7779055,,,,,,,,
7.690939,,,,,,,,
7.6861134,,,,,,,,
7.725002,,,,,,,,
7.682473,,,,,,,,
7.6985035,,,,,,,,
7.753429,,,,,,,,
7.7720747,,,,,,,,
7.819237,,,,,,,,
7.8656597,,,,,,,,
7.883023,,,,,,,,
7.9126234,,,,,,,,
7.9706736,,,,,,,,
8.08709,,,,,,,,
8.197221,,,,,,,,
8.275681,,,,,,,,
8.279209,,,,,,,,
8.239985,,,,,,,,
8.223189,,,,,,,,
8.173291,,,,,,,,
8.007081,,,,,,,,
7.81812,,,,,,,,
7.683093,,,,,,,,
7.653927,,,,,,,,
7.685338,,,,,,,,
7.7537403,,,,,,,,
7.8166203,,,,,,,,
7.827243,,,,,,,,
7.809034,,,,,,,,
7.7282023,,,,,,,,
7.6407075,,,,,,,,
7.5576196,,,,,,,,
7.522439,,,,,,,,
7.5278454,,,,,,,,
7.5272875,,,,,,,,
7.526601,,,,,,,,
7.5272536,,,,,,,,
7.589189,,,,,,,,
7.6713924,,,,,,,,
7.733965,,,,,,,,
7.732936,,,,,,,,
7.661787,,,,,,,,
7.6016765,,,,,,,,
7.6025925,,,,,,,,
7.5883307,,,,,,,,
7.559572,,,,,,,,
7.7617574,,,,,,,,
8.102454,,,,,,,,
8.369192,,,,,,,,
8.534697,,,,,,,,
8.777022,,,,,,,,
9.003533,,,,,,,,
9.139208,,,,,,,,
9.336114,,,,,,,,
9.503383,,,,,,,,
9.50652,,,,,,,,
9.401533,,,,,,,,
9.26671,,,,,,,,
9.220729,,,,,,,,
9.140414,,,,,,,,
9.03765,,,,,,,,
9.005284,,,,,,,,
9.032543,,,,,,,,
9.097401,,,,,,,,
9.031342,,,,,,,,
8.959284,,,,,,,,
8.84364,,,,,,,,
8.85292,,,,,,,,
8.784031,,,,,,,,
8.604907,,,,,,,,
8.754761,,,,,,,,
9.055689,,,,,,,,
9.230577,,,,,,,,
9.077062,,,,,,,,
8.914816,,,,,,,,
8.791408,,,,,,,,
8.748374,,,,,,,,
8.875924,,,,,,,,
9.161722,,,,,,,,
9.365237,,,,,,,,
9.574349,,,,,,,,
9.71315,,,,,,,,
9.6964655,,,,,,,,
9.617927,,,,,,,,
9.446535,,,,,,,,
9.291218,,,,,,,,
9.299491,,,,,,,,
