31.955904,,date,real,predict
30.220106,,,,
28.50804,,,,
30.867954,,,,
31.641579,,,,
32.481377,,,,
31.117228,,,,
30.071634,,,,
29.037283,,,,
30.819708,,,,
30.017149,,,,
29.422308,,,,
29.466133,,,,
29.459772,,,,
28.141722,,,,
27.839487,,,,
28.173706,,,,
28.97988,,,,
29.890892,,,,
29.513578,,,,
30.072876,,,,
30.410828,,,,
29.91725,,,,
29.655142,,,,
30.285812,,,,
30.650768,,,,
31.529099,,,,
31.529016,,,,
31.611254,,,,
31.23269,,,,
29.244413,,,,
29.006021,,,,
29.553532,,,,
29.802435,,,,
30.572807,,,,
30.593687,,,,
29.823446,,,,
30.079903,,,,
30.655224,,,,
30.351555,,,,
31.153076,,,,
30.578548,,,,
29.468216,,,,
29.786709,,,,
28.656303,,,,
28.063316,,,,
27.26487,,,,
26.812544,,,,
26.174479,,,,
26.801134,,,,
26.83696,,,,
26.550056,,,,
25.582983,,,,
24.99892,,,,
24.904366,,,,
23.65821,,,,
22.723526,,,,
22.406818,,,,
22.047981,,,,
21.516495,,,,
21.40579,,,,
22.02809,,,,
22.787344,,,,
22.955326,,,,
22.965454,,,,
23.370123,,,,
23.937252,,,,
25.511023,,,,
25.706854,,,,
25.534218,,,,
25.842333,,,,
26.13859,,,,
26.68877,,,,
26.515186,,,,
26.106388,,,,
25.935213,,,,
27.588606,,,,
28.084652,,,,
27.87632,,,,
27.557875,,,,
27.764679,,,,
27.418144,,,,
27.2131,,,,
27.618416,,,,
27.137932,,,,
26.152664,,,,
25.248087,,,,
26.328535,,,,
26.751446,,,,
27.049215,,,,
26.9843,,,,
28.182364,,,,
28.03745,,,,
28.644928,,,,
28.094276,,,,
27.959372,,,,
27.805025,,,,
27.44747,,,,
27.05236,,,,
26.799976,,,,
28.93303,,,,
28.6078,,,,
28.829247,,,,
27.909777,,,,
26.878813,,,,
25.684237,,,,
26.235765,,,,
26.148827,,,,
26.447098,,,,
26.053473,,,,
24.904388,,,,
24.913902,,,,
24.987936,,,,
25.117094,,,,
25.131012,,,,
25.24135,,,,
25.128695,,,,
24.791441,,,,
24.1598,,,,
24.10689,,,,
24.376904,,,,
24.510147,,,,
25.090382,,,,
25.93895,,,,
26.396366,,,,
26.106602,,,,
25.568573,,,,
25.367922,,,,
24.82246,,,,
24.541647,,,,
24.351217,,,,
24.054989,,,,
24.134531,,,,
24.132597,,,,
24.539366,,,,
24.94414,,,,
25.211843,,,,
25.07995,,,,
24.520136,,,,
24.136026,,,,
23.970524,,,,
24.139568,,,,
22.929676,,,,
21.297564,,,,
20.69344,,,,
20.041048,,,,
20.074093,,,,
19.881117,,,,
20.267275,,,,
20.774828,,,,
20.716475,,,,
20.9966,,,,
21.20348,,,,
21.595406,,,,
21.593134,,,,
20.995079,,,,
20.725204,,,,
21.037395,,,,
21.24797,,,,
21.641043,,,,
21.894304,,,,
22.042023,,,,
22.161158,,,,
22.338678,,,,
22.059008,,,,
21.88968,,,,
22.032648,,,,
22.459978,,,,
22.704178,,,,
22.661798,,,,
22.162518,,,,
21.903248,,,,
21.507784,,,,
21.372036,,,,
21.306614,,,,
21.091532,,,,
20.449251,,,,
19.962122,,,,
20.31444,,,,
20.930523,,,,
22.109114,,,,
23.080856,,,,
23.80238,,,,
24.026716,,,,
23.585314,,,,
23.773558,,,,
24.240644,,,,
24.48577,,,,
24.407827,,,,
24.176313,,,,
24.413038,,,,
24.191551,,,,
25.132364,,,,
25.85856,,,,
26.798426,,,,
26.340355,,,,
25.726187,,,,
25.934149,,,,
26.205536,,,,
26.575693,,,,
26.88096,,,,
25.865847,,,,
25.401968,,,,
25.696486,,,,
25.80346,,,,
26.736948,,,,
26.264528,,,,
25.803158,,,,
25.696117,,,,
25.945663,,,,
26.427446,,,,
26.264622,,,,
26.762257,,,,
26.944708,,,,
27.056105,,,,
26.16889,,,,
24.969002,,,,
24.435526,,,,
23.82887,,,,
22.788658,,,,
22.996443,,,,
23.418348,,,,
23.375555,,,,
23.13942,,,,
22.491863,,,,
23.56139,,,,
25.159464,,,,
25.741554,,,,
25.278822,,,,
26.239157,,,,
26.392385,,,,
26.2299,,,,
25.875542,,,,
25.957949,,,,
26.371857,,,,
26.392113,,,,
26.67024,,,,
