日期,累计确诊,新增确诊,累计治愈,累计死亡,国家
2020/2/23,3,0,3,0,印度
2020/2/23,2,0,2,0,俄罗斯
2020/2/23,136,14,1,1,日本
2020/2/24,2,0,0,0,西班牙
2020/2/24,16,0,14,0,德国
2020/2/24,35,1,3,0,美国
2020/2/24,230,98,2,6,意大利
2020/2/24,61,18,0,12,伊朗
2020/2/24,833,231,12,8,韩国
2020/2/24,77658,508,27323,2663,中国
2020/2/24,3,0,3,0,印度
2020/2/24,2,0,2,0,俄罗斯
2020/2/24,159,23,1,1,日本
2020/2/25,3,1,2,0,西班牙
2020/2/25,16,0,14,0,德国
2020/2/25,53,18,3,0,美国
2020/2/25,283,53,1,7,意大利
2020/2/25,95,34,0,16,伊朗
2020/2/25,977,144,22,11,韩国
2020/2/25,78064,406,29745,2715,中国
2020/2/25,3,0,3,0,印度
2020/2/25,2,0,2,0,俄罗斯
2020/2/25,162,3,1,1,日本
2020/2/26,9,6,2,0,西班牙
2020/2/26,19,3,14,0,德国
2020/2/26,57,4,3,0,美国
2020/2/26,374,91,1,12,意大利
2020/2/26,139,44,0,19,伊朗
2020/2/26,1261,284,24,12,韩国
2020/2/26,78497,433,32495,2744,中国
2020/2/26,3,0,3,0,印度
2020/2/26,1,1,0,0,巴西
2020/2/26,2,0,2,0,俄罗斯
2020/2/26,178,7,1,1,日本
2020/2/27,13,4,2,0,西班牙
2020/2/27,27,8,14,0,德国
2020/2/27,60,3,3,0,美国
2020/2/27,528,154,42,14,意大利
2020/2/27,245,106,49,26,伊朗
2020/2/27,1766,505,24,13,韩国
2020/2/27,78824,327,36117,2788,中国
2020/2/27,3,0,3,0,印度
2020/2/27,1,0,0,0,巴西
2020/2/27,5,3,2,0,俄罗斯
2020/2/27,207,29,1,4,日本
2020/2/28,25,12,2,0,西班牙
2020/2/28,60,33,14,0,德国
2020/2/28,60,0,3,0,美国
2020/2/28,655,127,45,17,意大利
2020/2/28,388,143,49,34,伊朗
2020/2/28,2337,571,24,16,韩国
2020/2/28,79251,427,39002,2835,中国
2020/2/28,3,0,3,0,印度
2020/2/28,1,0,0,0,巴西
2020/2/28,5,0,2,0,俄罗斯
2020/2/28,233,22,32,5,日本
2020/2/29,41,16,2,0,西班牙
2020/2/29,66,6,16,0,德国
2020/2/29,64,4,3,0,美国
2020/2/29,888,233,46,21,意大利
2020/2/29,593,205,123,43,伊朗
2020/2/29,3150,813,28,17,韩国
2020/2/29,79824,573,41625,2870,中国
2020/2/29,3,0,3,0,印度
2020/2/29,1,0,0,0,巴西
2020/2/29,5,0,2,0,俄罗斯
2020/2/29,241,8,32,5,日本
2020/3/1,74,33,2,0,西班牙
2020/3/1,117,51,16,0,德国
2020/3/1,69,5,3,1,美国
2020/3/1,1128,240,50,29,意大利
2020/3/1,593,0,123,43,伊朗
2020/3/1,3736,586,30,20,韩国
2020/3/1,80026,202,44462,2912,中国
2020/3/1,3,0,3,0,印度
2020/3/1,2,1,0,0,巴西
2020/3/1,5,0,2,0,俄罗斯
2020/3/1,256,14,32,6,日本
2020/3/2,74,0,2,0,西班牙
2020/3/2,157,40,16,0,德国
2020/3/2,89,20,3,2,美国
2020/3/2,1713,585,83,41,意大利
2020/3/2,1501,908,175,66,伊朗
2020/3/2,4335,599,31,26,韩国
2020/3/2,80151,125,47204,2943,中国
2020/3/2,5,2,3,0,印度
2020/3/2,2,0,0,0,巴西
2020/3/2,6,1,2,0,俄罗斯
2020/3/2,274,18,32,6,日本
2020/3/3,150,76,3,0,西班牙
2020/3/3,196,39,16,0,德国
2020/3/3,105,16,3,6,美国
2020/3/3,2086,373,149,52,意大利
2020/3/3,2336,835,435,77,伊朗
2020/3/3,5186,851,31,31,韩国
2020/3/3,80270,119,49856,2981,中国
2020/3/3,11,6,3,0,印度
2020/3/3,2,0,0,0,巴西
2020/3/3,6,0,2,0,俄罗斯
2020/3/3,293,19,32,6,日本
2020/3/4,240,44,16,0,德国
2020/3/4,179,29,3,1,西班牙
2020/3/4,126,21,3,9,美国
2020/3/4,2546,460,160,79,意大利
2020/3/4,2922,586,435,92,伊朗
2020/3/4,5621,435,31,34,韩国
2020/3/4,80409,139,52045,3012,中国
2020/3/4,28,17,3,0,印度
2020/3/4,2,0,0,0,巴西
2020/3/4,6,0,2,0,俄罗斯
2020/3/4,326,33,32,6,日本
2020/3/5,349,109,16,0,德国
2020/3/5,248,69,3,2,西班牙
2020/3/5,161,35,8,11,美国
2020/3/5,3089,543,276,107,意大利
2020/3/5,3513,591,435,107,伊朗
2020/3/5,6088,467,88,42,韩国
2020/3/5,80552,143,53726,3042,中国
2020/3/5,30,2,3,0,印度
2020/3/5,1,1,0,0,南非
2020/3/5,3,1,0,0,巴西
2020/3/5,7,1,2,0,俄罗斯
2020/3/5,331,5,32,6,日本
2020/3/6,565,216,16,0,德国
2020/3/6,345,97,3,5,西班牙
2020/3/6,234,73,8,14,美国
2020/3/6,4747,1234,739,124,伊朗
2020/3/6,3927,838,414,148,意大利
2020/3/6,6284,196,108,43,韩国
2020/3/6,80651,99,55404,3070,中国
2020/3/6,31,1,3,0,印度
2020/3/6,1,0,0,0,南非
2020/3/6,8,5,0,0,巴西
2020/3/6,13,6,2,0,俄罗斯
2020/3/6,416,85,32,6,日本
2020/3/7,684,119,16,0,德国
2020/3/7,441,96,30,8,西班牙
2020/3/7,337,103,10,17,美国
2020/3/7,5823,1076,739,145,伊朗
2020/3/7,4680,753,523,197,意大利
2020/3/7,6767,483,118,48,韩国
2020/3/7,80695,44,57065,3097,中国
2020/3/7,33,3,3,0,印度
2020/3/7,2,1,0,0,南非
2020/3/7,13,5,0,0,巴西
2020/3/7,17,4,2,0,俄罗斯
2020/3/7,441,25,32,7,日本
2020/3/8,847,163,18,0,德国
2020/3/8,613,172,30,17,西班牙
2020/3/8,455,118,10,19,美国
2020/3/8,6566,743,2134,194,伊朗
2020/3/8,6012,1332,589,233,意大利
2020/3/8,7313,546,130,50,韩国
2020/3/8,80735,40,58600,3119,中国
2020/3/8,40,6,3,0,印度
2020/3/8,2,0,0,0,南非
2020/3/8,19,6,0,0,巴西
2020/3/8,17,0,2,0,俄罗斯
2020/3/8,494,33,32,7,日本
2020/3/9,1151,304,18,0,德国
2020/3/9,582,127,10,22,美国
2020/3/9,1046,433,32,26,西班牙
2020/3/9,7161,595,2394,237,伊朗
2020/3/9,7478,165,166,33,韩国
2020/3/9,7424,1412,622,366,意大利
2020/3/9,80754,19,59897,3136,中国
2020/3/9,43,3,3,0,印度
2020/3/9,3,1,1,0,南非
2020/3/9,25,6,0,0,巴西
2020/3/9,20,3,3,0,俄罗斯
2020/3/9,514,20,80,9,日本
2020/3/10,1224,73,18,2,德国
2020/3/10,755,173,10,26,美国
2020/3/10,1648,602,32,35,西班牙
2020/3/10,7513,35,247,80,韩国
2020/3/10,8042,881,2731,291,伊朗
2020/3/10,9220,1796,724,463,意大利
2020/3/10,80778,24,61475,3158,中国
2020/3/10,59,16,4,0,印度
2020/3/10,7,4,1,0,南非
2020/3/10,30,5,0,0,巴西
2020/3/10,20,0,3,0,俄罗斯
2020/3/10,581,67,101,12,日本
2020/3/11,1565,341,18,3,德国
2020/3/11,1052,297,15,31,美国
2020/3/11,2174,526,183,49,西班牙
2020/3/11,7755,242,288,65,韩国
2020/3/11,9000,958,2959,354,伊朗
2020/3/11,10283,1063,1004,631,意大利
2020/3/11,80793,15,62793,3169,中国
2020/3/11,62,3,4,0,印度
2020/3/11,13,6,1,0,南非
2020/3/11,34,4,0,0,巴西
2020/3/11,20,0,3,0,俄罗斯
2020/3/11,628,47,102,14,日本
2020/3/12,2078,513,23,3,德国
2020/3/12,1329,277,15,38,美国
2020/3/12,2968,794,189,84,西班牙
2020/3/12,7869,114,333,66,韩国
2020/3/12,10075,1075,3276,429,伊朗
2020/3/12,12462,2179,1045,827,意大利
2020/3/12,80813,8,64111,3176,中国
2020/3/12,74,11,4,0,印度
2020/3/12,24,11,1,0,南非
2020/3/12,52,18,0,0,巴西
2020/3/12,28,8,3,0,俄罗斯
2020/3/12,690,62,118,17,日本
2020/3/13,3117,1039,46,7,德国
2020/3/13,1880,551,31,41,美国
2020/3/13,4209,1241,189,120,西班牙
2020/3/13,7979,110,510,72,韩国
2020/3/13,11364,1289,3529,514,伊朗
2020/3/13,15385,2923,1258,1016,意大利
2020/3/13,80824,11,65541,3189,中国
2020/3/13,81,7,4,1,印度
2020/3/13,24,0,1,0,南非
2020/3/13,77,25,0,0,巴西
2020/3/13,34,6,8,0,俄罗斯
2020/3/13,725,35,135,21,日本
2020/3/14,3675,558,46,8,德国
2020/3/14,2236,356,31,49,美国
2020/3/14,5753,1544,193,136,西班牙
2020/3/14,8086,107,714,72,韩国
2020/3/14,12729,1365,4339,611,伊朗
2020/3/14,17660,2275,1439,1266,意大利
2020/3/14,80844,20,66911,3199,中国
2020/3/14,84,1,10,2,印度
2020/3/14,38,14,1,0,南非
2020/3/14,98,21,0,0,巴西
2020/3/14,59,14,8,0,俄罗斯
2020/3/14,748,23,135,21,日本
2020/3/15,5142,1467,46,9,德国
2020/3/15,2943,707,48,60,美国
2020/3/15,7753,2000,571,195,西班牙
2020/3/15,8162,76,834,75,韩国
2020/3/15,13938,1209,4590,724,伊朗
2020/3/15,21270,3610,1966,1441,意大利
2020/3/15,80860,16,67749,3213,中国
2020/3/15,107,23,10,2,印度
2020/3/15,51,13,1,0,南非
2020/3/15,121,23,0,0,巴西
2020/3/15,60,33,8,0,俄罗斯
2020/3/15,818,70,135,24,日本
2020/3/16,5813,671,46,13,德国
2020/3/16,3774,831,73,69,美国
2020/3/16,8236,74,1137,75,韩国
2020/3/16,9191,1438,571,309,西班牙
2020/3/16,14991,1053,4996,853,伊朗
2020/3/16,24747,3477,2335,1809,意大利
2020/3/16,80881,21,68679,3226,中国
2020/3/16,117,10,13,2,印度
2020/3/16,62,11,1,0,南非
2020/3/16,200,79,0,0,巴西
2020/3/16,93,33,8,0,俄罗斯
2020/3/16,835,48,135,28,日本
2020/3/17,7272,1459,135,17,德国
2020/3/17,4687,913,74,93,美国
2020/3/17,8320,84,1401,83,韩国
2020/3/17,11178,1987,571,491,西班牙
2020/3/17,16169,1178,5389,988,伊朗
2020/3/17,27980,3233,2749,2158,意大利
2020/3/17,80894,13,69601,3237,中国
2020/3/17,137,20,13,3,印度
