126.973465,,,,,,
127.547714,,,,,,
127.99613,,,,,,
128.24358,,,,,,
129.00752,,,,,,
130.30025,,,,,,
131.27007,,,,,,
130.78778,,,,,,
129.81516,,,,,,
128.90822,,,,,,
128.5863,,,,,,
128.84167,,,,,,
129.70158,,,,,,
130.44637,,,,,,
130.856,,,,,,
131.27562,,,,,,
131.08951,,,,,,
130.38768,,,,,,
129.68161,,,,,,
129.61938,,,,,,
130.08876,,,,,,
130.42213,,,,,,
130.49437,,,,,,
130.58682,,,,,,
130.5662,,,,,,
130.47061,,,,,,
130.50465,,,,,,
130.79701,,,,,,
131.30641,,,,,,
131.5281,,,,,,
131.22813,,,,,,
130.74066,,,,,,
130.31454,,,,,,
130.17592,,,,,,
130.29305,,,,,,
130.78793,,,,,,
131.35191,,,,,,
132.36983,,,,,,
133.7012,,,,,,
134.38257,,,,,,
134.31003,,,,,,
133.60815,,,,,,
133.11284,,,,,,
132.94835,,,,,,
132.73503,,,,,,
130.70454,,,,,,
127.28362,,,,,,
124.65422,,,,,,
123.52165,,,,,,
123.47607,,,,,,
124.352264,,,,,,
124.67607,,,,,,
124.09571,,,,,,
122.66439,,,,,,
120.658554,,,,,,
119.171524,,,,,,
118.87439,,,,,,
119.42957,,,,,,
120.96074,,,,,,
122.57015,,,,,,
123.51121,,,,,,
123.51285,,,,,,
123.01063,,,,,,
122.40884,,,,,,
121.59412,,,,,,
120.16054,,,,,,
118.67558,,,,,,
117.96327,,,,,,
117.96414,,,,,,
118.477425,,,,,,
119.35397,,,,,,
120.232506,,,,,,
120.57149,,,,,,
120.768326,,,,,,
121.01904,,,,,,
121.42778,,,,,,
121.65651,,,,,,
121.547066,,,,,,
121.13043,,,,,,
120.63166,,,,,,
119.92055,,,,,,
119.166405,,,,,,
118.824104,,,,,,
118.72144,,,,,,
118.61954,,,,,,
118.37429,,,,,,
118.33459,,,,,,
118.787895,,,,,,
119.90066,,,,,,
121.69381,,,,,,
123.74282,,,,,,
125.24979,,,,,,
